"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","lieb****","2021.04.27. 19:28","1","요약하자면 첨부터 끝까지 김강우 절대 헌신의 스토리ㅋㅋㅋ김강우 배우님 연기는 정말 말할 것도 없이 너무 좋았음~","7","2"
"내일의 기억","qkrt****","2021.04.26. 18:18","1","진짜 재미없음.. 지금까지 봤던 영화중에서 제일 재미없음 보지마셈","7","2"
"내일의 기억","oror****","2021.04.26. 13:09","1","진짜 노잼 그냥 잤음 영화보는데 ㅋㅋ 그냥 막장임 ㅋㅋ","7","2"
"내일의 기억","sw31****","2021.05.09. 18:20","1","상당히 충격적이네요...요즘같은 시대에도 저런 개연성 떨어지는 내용과 말도 안되는 내용이 가능하다니....그져 웃습니다 코시국에 올해 처음 본 영화가 이거라니네이버 평점 안믿을래요","8","3"
"내일의 기억","wani****","2021.05.04. 20:48","2","아 진짜 존나 재미없는데 ? 제작진들 배우들 고생 한건 알겠는데 작품성만 놓고봤을때 정말 최악이네 영화의 긴장감이 1도없음 연출도 너무 부실하고 그냥 억지로 반전줄려고 끼워맞춘느낌임 정말 실망함 다들 평점 알바가 의심될정도임","8","3"
"내일의 기억","yds0****","2021.04.22. 03:08","8","재밌어요. 근데 자꾸 딱따구리가 제 귀에다 속삭여요. 딱딱..딱딱....","9","4"
"내일의 기억","mone****","2021.04.21. 14:25","9","오 재밌었음 첫 반전은 예상했지만 두번째 반전은 예상못함 잘 만듬","9","4"
"내일의 기억","yyj4****","2021.04.28. 17:32","1","여주 보기 불편....","13","8"
"내일의 기억","1004****","2021.04.21. 22:14","2","서예지씨 연기공부다시하길 바래요","13","8"
"내일의 기억","doos****","2021.04.21. 10:41","10","영화는 괜춘한데.. 하필 강우..안습 .. 재밌어여","23","18"
"내일의 기억","rlni****","2021.05.23. 03:47","1","너무 재미없었습니다 정말요","4","0"
"내일의 기억","hyon****","2021.05.22. 02:11","2","연기력은 서예지 김강우 다 좋습니다. 서예지 논란은 많아도 연기 못하는 배우는 아니잖아요. 하지만 영화 스토리는 연출이 다 말아먹은 것 같고 영상미 ost티는 그냥 평할 가치도 없이 뭐가 없습니다. 감흥이 없어요. 근래 본 영화중에 가장 재미없고 진부하고 감동없고 뭣도없는 영화에 꼽네요... 반전도 놀랍다 하시는 분들...","4","0"
"내일의 기억","oasi****","2021.05.21. 23:07","6","그저그런 평범한 스릴러","4","0"
"내일의 기억","mari****","2021.05.19. 16:58","5","스토리가 많이 아쉽다..","4","0"
"내일의 기억","kyt5****","2021.05.19. 04:02","1","후반까지 미스터리한 전개로 가다가 마지막 반전만 바라보는 영화인데 후반까지 갈 동안 진짜 지루하고 재미없고 반전도 재미없음. 허접한 미스터리 스릴러 영화. 이게 9점대라고? 하하하.. 감독님 양심이 있나요? 조작을 해도 적당히 해야지","4","0"
"내일의 기억","83le****","2021.05.17. 01:13","2","알바들이었네...속았어 ㅠ 스토리 억지스럽고 영상에 필터 너무 강하고 그나마 막판에 좀 정리해주네요. 간만에 스릴러 보나했는데 그닥..","4","0"
"내일의 기억","kid0****","2021.05.16. 21:17","1","보는 내내 서예지 성형한 코가 부자연 스러워 집중안됨","4","0"
"내일의 기억","0dbw****","2021.05.16. 17:24","4","아진짜별루다원...알바지대로썼나보네","4","0"
"내일의 기억","oiuy****","2021.05.16. 11:57","1","왜 낮에 다쳤는데 밤에 치료하죠? 왜 옷을 입고 바다에 수영하러가죠? cctv속 모자쓴 모습만 보고 어떻게 누군지 정확히 알았죠? 그것도 잘 아는 사람도 아니고, 사진으로만 한번 봤던 사람이었는데.. 집은 서초군데 왜 여자는 남양주 경찰서로 갔죠? 아무리 안면있던 경찰이 그쪽 소속이라도 집근처 경찰서로 가는게 이치...","4","0"
"내일의 기억","cell****","2021.05.15. 18:23","1","정보 없음","4","0"
"내일의 기억","yose****","2021.05.15. 11:17","2","서예지하테 손해배상청구하길.","4","0"
"내일의 기억","mfjh****","2021.05.15. 10:02","2","싸이코라도 잼있어...","4","0"
"내일의 기억","pong****","2021.05.14. 02:33","1","스토리를 얼마나 꼬아 놨는지 상황을 억지로 맞추고 후반엔 짜증이 날정도","4","0"
"내일의 기억","mypa****","2021.05.13. 12:55","1","국민국밥과 서조종의 환장의 콜라보","4","0"
"내일의 기억","soul****","2021.05.13. 00:27","6","평점 높은게 반전이네.","4","0"
"내일의 기억","mand****","2021.05.07. 15:44","4","건질게 한두개 정도는 분명히 있어 살짝 억울한 영화. 그래도 나머진 다 버려야 되서 그렇게 억울해 않아도 되는 영화","5","1"
"내일의 기억","augu****","2021.05.04. 11:43","7","중후반까지 어색하다고 느낀 부분들이 사실 반전을 위한 밑그림이었다는 점, 매력적인 연기가 마음에 든다. 하지만 지나치게 도식적인 로맨스와 작위적인 대사가 살짝 아쉽다.","5","1"
"내일의 기억","igal****","2021.05.04. 03:03","8","어설픈 반전.. 연기력이 딸리던데??","5","1"
"내일의 기억","sszz****","2021.05.02. 22:47","6","오늘보고 왔는데 그렇게 재밌진 않다..  그리고 중간 가다보면 스토리 전개가 보이기 시작함..  요즘 영화도 없어서 볼게 없어서 봄..","5","1"
"내일의 기억","as20****","2021.05.02. 20:10","6","현실감없는 연출 + 신파극","5","1"
"내일의 기억","grum****","2021.04.29. 22:23","6","평점주는 분들이 다 제 돈주고 안본거 같은데 ㅋㅋ글케나 반전은 아닌디","5","1"
"내일의 기억","anyc****","2021.04.27. 23:09","6","평점보고 기대하며 봤는대 생각보다 기대이하네요스토리의 전개도 매끄럽지 못하고 상황에 대한 납득이 별로 안감","5","1"
"내일의 기억","nonb****","2021.04.27. 13:28","4","스릴러치곤 너무 진부했어요","5","1"
