"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"그대를 사랑합니다","sses****","2017.01.02. 04:48","10","영화보면서 아니 살면서 소리내면서 이렇게 많이운적은 처음인것같다.. 보고싶다..같이 저렇게 늙고싶다...","2","1"
"그대를 사랑합니다","ashl****","2016.11.04. 15:53","9","이런게 맥락 있는 감동... 강요된 눈물이 아님","2","1"
"그대를 사랑합니다","hmk1****","2016.10.31. 00:26","10","제가 학생인데 이 영화내용을 책으로 본적있어요 '그대를 사랑합니다' 총 3편까지있는데요. 수업시간내내 생각나더군요 장군봉 할아버지와 할아버지의 아내 분 정말 눈물없이 볼수없었습니다. 독서시간에서도 보면서 눈물이 찔끔나오는거 겨우 숨켰습니디","2","1"
"그대를 사랑합니다","choc****","2016.09.26. 07:25","10","너무슬프고 마음이 따뜻해지는  영화영화본것중 가장많이 울었던 가슴이 먹먹해지는 죽음에 가까워지는 나이에 죽음과 사랑을 담담하지만 아름답게 표현한 나한테 최고의 영화였다..","2","1"
"그대를 사랑합니다","rkzk****","2015.02.24. 22:49","10","영화가 아름답다~~♥","2","1"
"그대를 사랑합니다","whgd****","2015.01.18. 19:51","10","이거 웹툰이나 책으로 볼땐 안슬펏는데 영화로보니까 확와닿아서 겁나울음...","2","1"
"그대를 사랑합니다","skss****","2014.02.05. 03:16","10","사랑의힘은 그무엇보다 크다..","2","1"
"그대를 사랑합니다","lisa****","2013.07.28. 15:46","10","말이 필요없네요...","2","1"
"그대를 사랑합니다","jsho****","2012.08.19. 14:36","10","억지로 만들지 않은 감동","2","1"
"그대를 사랑합니다","ejh6****","2018.04.13. 01:22","10","누군가에게 단 한 편의 영화를 추천해야 한다면 잠시의 고민도 없이 바로 이 영화를 추천할 거에요ㅜㅜ감정이 메말랐다는 소리를 듣던 나를 사람 많은 곳에서 폭풍 오열하게 만든 유일한 영화.. 이 영화의 내용을 떠올릴 때마다 눈시울이 붉어지고 눈물이 맺힘","3","2"
"그대를 사랑합니다","gold****","2017.06.16. 23:25","10","삼가 고인의 명복을 빕니다.","3","2"
"그대를 사랑합니다","sia4****","2017.04.19. 01:06","10","네분이서 연기를 너무 잘하셨어요. 두번째 보는데도 참 아름다우면서 먹먹합니다... 계실때 잘합시다... 저도 두분 모두 초등학교때 잃은 외동이라 후회가 많네요.","3","2"
"그대를 사랑합니다","butt****","2016.11.25. 10:29","10","젊은이들의 사랑보다 훨씬 더 세련된","3","2"
"그대를 사랑합니다","mugi****","2016.10.22. 02:56","10","정말눈물콧물다빼고 집에서돌아가서도울었다.진짜대사하나하나행동하나하나미친듯이마음에남고,배우들의 눈물들이떨어질때마다 내눈물은배로흘렀다.나는 나이먹어서 부모님들을외롭지않게 할수있을까?","3","2"
"그대를 사랑합니다","iyt2****","2016.09.04. 04:54","10","20살에 방황하던 시절 혼자 영화관가서 봤는데 주변에 눈물 안 흘리는 사람이 없었다.... 화가나면서도 현실적인 상황에 할말을 잃음.","3","2"
"그대를 사랑합니다","jhh5****","2015.05.19. 13:41","10","정말 보면서 펑펑운영화","3","2"
"그대를 사랑합니다","dbfl****","2015.05.17. 14:27","10","숨이안쉬어질정도로운건이영화가처음이다.가슴이너무먹먹하다.","3","2"
"그대를 사랑합니다","mmob****","2015.04.28. 21:14","10","정말  슬프고  감동적이네요 ㅠㅠ  이런 영화  1점주는것들은  뭔지 ...","3","2"
"그대를 사랑합니다","8529****","2015.03.30. 01:58","10","극장에서 보고 울었던 영화","3","2"
"그대를 사랑합니다","dghh****","2015.03.27. 00:29","10","휴가갈때 ktx표가없어 영화보면서 가는자리는 남아서 이거봤는데 군복입고 계속 울었다 진심 거기에 있던 사람들 내릴때 눈물콧물 범벅","3","2"
"그대를 사랑합니다","kona****","2015.03.22. 22:48","10","편의점알바하면서시간때울겸봤는데진짜너무슬퍼서펑펑울었습니다역시선생님들의연기가정말독보적이였어요","3","2"
