username,date,rating,review,likes,dislikes
kimj****,2017.09.10. 10:20,9,설경구 연기는 진짜 명불허전....끝까지 긴장되고 궁금하게 하는 영화,7,0
csg0****,2018.02.23. 21:16,10,연기가 진짜 대박이에요 추천이요,9,2
suku****,2017.09.17. 15:12,10,솔직히 아침에 조조로봐서 좀 졸린느낌이었는데 영화보면서 정신이 확 들 정도로 반전에 반전이 끝까지 긴장하게 만듬... 설경구와 김남길의 연기는 두말하면 입이 아플정도고...,9,2
hyeo****,2017.09.09. 00:01,7,살인자의 기억법 재밌게 봤어요,9,2
brid****,2017.09.08. 22:26,9,배우들의 열연이 돋보입니다,9,2
ehdv****,2017.09.08. 19:07,8,설경구님의 눈떨림 연기에서 다들 한번씩 따라해보지 않았나요?ㅎ 재미있게 봤어요특히 대나무 숲에서 오달수님의 놀래는 연기는 정말 재미있었어요^^잘 보고 왔습니다,9,2
hees****,2017.09.13. 10:08,10,매우 흡입력있는 작품이었다,10,3
kiri****,2017.09.06. 23:17,10,설경구 배우님 연기 장난없어요!  꼭보세요,10,3
ohso****,2017.09.08. 09:46,8,볼만햇어요 좋앗어요~,11,4
ykha****,2017.09.10. 06:21,8,설경구의 연기가 대단했다. 스토리도 흥미롭다.그런데 무엇인가 시원한 느낌이 없는건 왜일까?,12,5
dodt****,2017.09.09. 10:37,8,그냥저냥 쏘쏘영화가좀 정신없긴한데 나쁘지않아요,12,5
chan****,2017.09.09. 01:14,10,너무너무 재미잇엇어요. 여운을 남기는 영화...,12,5
vnvn****,2017.09.08. 00:12,10,재밌게잘봤습니다^^,12,5
lshs****,2017.09.06. 22:30,10,살인자 김병수의 기억으로 이루어진 영화. 관객 또한 장면 하나하나를 의심해야할 것이다.,12,5
wnst****,2017.09.08. 12:37,8,쏘쏘하다 그냥 쏘쏘 설현 연기도 의외로 쏘쏘,14,7
mact****,2017.09.09. 04:08,10,재밋게장보앗스빈당ㅇㅇ,15,8
psh1****,2017.09.06. 17:35,7,재밌게는 봤는데 이해력이 부족한건지 마지막엔 ? 하게 되네요... 암튼 다들 연기력은 굿굿,20,13
sk99****,2017.09.17. 20:34,1,재미없어요 소설을 못따라가네요 특히 연기거슬리는 아이돌좀뺍시다 제발,30,23
dnth****,2017.09.10. 01:11,1,노잼인데 평점 뭐냐 ㅋㅋㅋ레알,53,46
look****,2017.11.10. 12:27,9,스토리도 괜찮고 배우들의 연기력도 좋고 몰입감이 좋았습니다.,6,0
tlst****,2017.11.10. 09:59,10,결말 소름돋아요 재밌게 잘 봤어요,6,0
alwa****,2017.11.02. 06:33,10,개인적으로 살기법 전체관람가보다 결말이 더 친절해진 기분. 만족합니다,6,0
yo70****,2017.09.11. 13:55,10,설경구 연기...개쩔었다 ..,6,0
lsk9****,2017.09.10. 12:06,8,주연 배우들의 연기 완벽 조합!!,6,0
huna****,2017.09.08. 21:48,7,연기력 정말 짱입니다요,6,0
wils****,2018.02.20. 16:06,8,재밌었어요. 반전과스릴,7,1
gkgk****,2017.09.14. 13:41,10,연기력에 감탄햇습니다,7,1
kty0****,2017.09.13. 12:44,9,배우들의 연기도 좋았고 내용 구성도 너무 좋았다,7,1
mrc4****,2017.09.13. 09:26,10,원작을 잘 표현해낸 영화였어요.,7,1
quan****,2017.09.10. 15:01,10,배우들 연기가 좋았습니다.재미있게 잘 밨습니다,7,1
soul****,2017.09.09. 18:17,10,졸잼 김영하가 더 대단하다고 느낀영화,7,1
dlzh****,2017.09.13. 01:15,8,"영화 자체는 so so, 배우들의 연기력은 good",8,2
life****,2017.09.11. 07:00,6,이렇게 잔인한게 어찌 15세 관람가인지  당췌~배우들의 연기력은 훌륭한데  설현이 납치된마지막 셋트장  내부도 영화스토리와 영 안맞고 ~ 어딘가  20%  부족함  ...   설경구의  배역에 맞게 변신한 노력은 치하하고싶음,8,2
zzza****,2017.09.12. 20:17,10,끝날때 까지 끝난게 아녀 ㅋㅋㅋ마지막씬 때문에 많은 생각을 하게 되고뭔가 찜찜 할껀데.. 여튼 간만에 설경구 연기에 소름 돋았다!!!,9,3
hjs6****,2017.09.07. 09:01,10,설경구 형님의 연기는 대단했어요 ㅎ,10,4
ny-8****,2017.09.08. 19:19,7,생각했던것 보단 아쉬움이 많았던 영화.,13,7
bain****,2017.09.18. 15:27,1,보고나서 기븐나쁜 영화 올만이다. 이제 평점 못믿겄다.,14,8
yama****,2017.09.06. 18:09,10,감정적으로 좀 불쾌하긴 했지만... 살인을 다룬 거니까 어쩔수없지...,14,8
hong****,2017.09.16. 22:22,1,난해하고이해하기 힘등,17,11
nato****,2017.09.17. 22:00,1,이영화는 내용이 없습니다 보면 기부니가 나빠져요ㅠ,18,12
dew0****,2017.09.08. 11:29,7,솔직히 7점 이상 주긴 힘듬..,20,14
park****,2017.09.08. 23:12,2,설경구 연기는 좋았으나 원작 소설을 보진 못했지만 내용이 너무 부실했던듯... 반전을 미리 관객들에게 보여주는듯한 전개나 중간중간 부실하고 말도안되는 설정들... 집에서 보면 처음에 몰입하다 중간쯤부터 끌 영화,31,25
sabe****,2017.09.06. 16:25,4,어설픈 메멘토 공백공백,48,42
midd****,2017.09.07. 00:45,2,몰입도 떨어지고 지루하고 평점에 낚인 1인,60,54
ekdl****,2017.09.07. 01:08,1,너무 뻔한 결과네요 그저 그렀습니다,62,56
skwj****,2018.01.17. 22:19,8,어린시절학대는 우리사회에 나쁜영향을 매우많이미치는구나~~,5,0
sayo****,2018.01.09. 06:42,8,설경구와 김남길의 연기내공이 느껴집니다.,5,0
mk37****,2017.11.17. 10:22,10,적절한긴장감이있는영화였음,5,0
v721****,2017.11.16. 17:05,8,스릴 넘치고 재미 있었어요 ㅋ,5,0
skd8****,2017.11.05. 17:07,10,설경구의 연기가 압도적,5,0
dbfl****,2017.11.04. 23:58,10,연기력에 감탄하며 즐겁게 봤습니다,5,0
yjuk****,2017.11.04. 12:23,10,끝까지 흥미진진한 영화입니다,5,0
didw****,2017.11.04. 00:03,10,아주우우우우 재밌다...,5,0
pqmz****,2017.11.02. 08:58,7,연기 증말 잘 해서 재밌었어요,5,0
kimj****,2017.11.02. 00:55,9,영화가  빠져든다 배우들의 연기력에 감탄함,5,0
kym9****,2017.11.01. 13:12,8,이번 감독판이 더 나은거같아요:)!,5,0
seci****,2017.09.18. 23:40,8,원작을 읽고 싶게 만드는 영화.,5,0
