"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 05- 27","3,165.51","3,170.84","3,173.86","3,142.37","1.08B","-0.09%"
"2021- 05- 26","3,168.43","3,171.91","3,183.97","3,160.30","1.27B","-0.09%"
"2021- 05- 25","3,171.32","3,152.93","3,173.10","3,148.30","612.98M","0.86%"
"2021- 05- 24","3,144.30","3,155.91","3,163.27","3,137.81","587.97M","-0.38%"
"2021- 05- 21","3,156.42","3,171.91","3,198.01","3,149.46","797.26M","-0.19%"
"2021- 05- 20","3,162.28","3,174.53","3,174.53","3,140.48","774.25M","-0.34%"
"2021- 05- 18","3,173.05","3,135.38","3,176.40","3,135.38","786.14M","1.23%"
"2021- 05- 17","3,134.52","3,163.21","3,173.01","3,121.32","771.31M","-0.60%"
"2021- 05- 14","3,153.32","3,131.35","3,162.31","3,131.35","836.40M","1.00%"
"2021- 05- 13","3,122.11","3,146.97","3,161.93","3,103.88","1.10B","-1.25%"
"2021- 05- 12","3,161.66","3,209.36","3,212.83","3,138.04","1.42B","-1.49%"
"2021- 05- 11","3,209.43","3,239.92","3,239.92","3,192.25","1.10B","-1.23%"
"2021- 05- 10","3,249.30","3,201.46","3,255.90","3,201.46","1.01B","1.63%"
"2021- 05- 07","3,197.20","3,179.63","3,205.11","3,179.63","989.68M","0.58%"
"2021- 05- 06","3,178.74","3,147.72","3,178.74","3,133.64","1.24B","1.00%"
"2021- 05- 04","3,147.37","3,131.39","3,147.38","3,109.78","1.28B","0.64%"
"2021- 05- 03","3,127.20","3,149.05","3,174.26","3,120.70","1.04B","-0.66%"
"2021- 04- 30","3,147.86","3,176.43","3,179.43","3,143.38","1.36B","-0.83%"
"2021- 04- 29","3,174.07","3,184.75","3,200.41","3,161.06","1.22B","-0.23%"
"2021- 04- 28","3,181.47","3,217.21","3,219.69","3,176.55","1.41B","-1.06%"
"2021- 04- 27","3,215.42","3,218.30","3,223.05","3,203.25","1.53B","-0.07%"
"2021- 04- 26","3,217.53","3,191.34","3,217.53","3,191.34","1.30B","0.99%"
"2021- 04- 23","3,186.10","3,173.47","3,188.70","3,146.54","2.25B","0.27%"
"2021- 04- 22","3,177.52","3,174.52","3,196.97","3,174.52","1.75B","0.18%"
"2021- 04- 21","3,171.66","3,214.24","3,214.24","3,165.49","1.77B","-1.52%"
"2021- 04- 20","3,220.70","3,198.31","3,220.82","3,195.96","1.30B","0.68%"
"2021- 04- 19","3,198.84","3,201.11","3,214.45","3,193.40","1.06B","0.01%"
"2021- 04- 16","3,198.62","3,194.08","3,206.76","3,185.67","985.28M","0.13%"
"2021- 04- 15","3,194.33","3,180.73","3,204.48","3,178.99","1.31B","0.38%"
"2021- 04- 14","3,182.38","3,169.95","3,188.32","3,162.12","1.78B","0.42%"
"2021- 04- 13","3,169.08","3,138.21","3,173.26","3,136.99","1.74B","1.07%"
"2021- 04- 12","3,135.59","3,134.88","3,147.27","3,127.91","1.05B","0.12%"
"2021- 04- 09","3,131.88","3,146.51","3,156.04","3,125.24","1.82B","-0.36%"
"2021- 04- 08","3,143.26","3,137.25","3,145.81","3,122.09","1.36B","0.19%"
"2021- 04- 07","3,137.41","3,129.07","3,146.19","3,125.33","1.98B","0.33%"
"2021- 04- 06","3,127.08","3,123.80","3,139.29","3,110.19","1.28B","0.20%"
"2021- 04- 05","3,120.83","3,121.23","3,127.20","3,101.86","1.08B","0.26%"
"2021- 04- 02","3,112.80","3,104.72","3,121.58","3,101.60","792.70M","0.82%"
"2021- 04- 01","3,087.40","3,073.77","3,090.88","3,069.68","922.68M","0.85%"
"2021- 03- 31","3,061.42","3,073.39","3,093.89","3,061.40","1.15B","-0.28%"
"2021- 03- 30","3,070.00","3,038.44","3,074.57","3,038.44","1.02B","1.12%"
"2021- 03- 29","3,036.04","3,047.71","3,054.21","3,025.39","1.29B","-0.16%"
"2021- 03- 26","3,041.01","3,012.79","3,041.86","3,012.79","1.04B","1.09%"
