"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"첫키스만 50번째","wnsd****","2023.07.16. 16:38","10","매일 같이 사랑하라, 이들처럼","0","0"
"첫키스만 50번째","bere****","2023.06.27. 23:47","10","최애영화 12년전 보고 5년전 보고 23년 또다시 봤어요 볼때마다 깊은 여운과 감동이 밀려오는 ㅠㅠ 영화 다시봐도 사랑스런 드류베리모어와 아담샌들러의 연기가 너무 좋아요","0","0"
"첫키스만 50번째","godr****","2023.06.17. 20:14","9","진정한 사랑에 대한 의미를 생각하게 해주는 영화. 매일을 새로운 하루로 만들어 주는 것은 사랑하는 사람들이라는 것을 깨닫게 해주는.","0","0"
"첫키스만 50번째","scwa****","2023.06.10. 22:07","6","절대적 도움이 필요한 가족이 있다는건.. 이 영화와 같을 순 없다","0","0"
"첫키스만 50번째","ehd8****","2023.06.06. 01:58","10","정보 없음","0","0"
"첫키스만 50번째","key8****","2023.05.31. 14:00","10","사랑스러운 배우,ost,시원한영상~ 몇번을 봤는지 모를정도다.","0","0"
"첫키스만 50번째","seul****","2023.05.30. 23:29","10","만나고 헤어지고 울고웃고 아주그냥  재미짐ㅋㅋ","0","0"
"첫키스만 50번째","nis2****","2023.04.02. 23:25","10","오랜만에 다시 봤는데 재밌네요~","0","0"
"첫키스만 50번째","stem****","2023.02.12. 20:28","10","재밌고 감동이고 슬프고 웃기고 설레고 다해요 ㅠㅠㅠ완전 추천 ㅠ","0","0"
"첫키스만 50번째","csi2****","2023.01.01. 17:35","10","사랑이란 이런걸까 너무나 사랑스럽다","0","0"
"첫키스만 50번째","seri****","2022.12.25. 19:25","10","하 보고 울었다.. 이런사랑이 가능한건가.. 너무 감동적","0","0"
"첫키스만 50번째","koh5****","2022.12.05. 15:41","10","정보 없음","0","0"
"첫키스만 50번째","bae8****","2022.11.06. 16:43","10","50번쯤은 본 영화50번쯤은 더 볼 영화","0","0"
"첫키스만 50번째","pch0****","2022.10.29. 02:04","10","ㅠㅠㅠㅠ 진정한 사랑을 보여주는 영화네요남주의 한결같은 마음이 정말 감동적이에요 ㅜㅜㅜ보고 많이 웃고 울었습니다 ㅜㅜ","0","0"
"첫키스만 50번째","bobi****","2022.10.12. 14:25","10","우리는 사랑하는 모든 것을 잊어간다. 그렇기 때문에 이 영화를 다시 볼 때마다 재밌으며, 내가 잊어가던 사랑하는 사람을 떠올리게 한다.","0","0"
"첫키스만 50번째","sile****","2022.09.22. 11:02","10","찐감동에 찐웃음인생영화예요","0","0"
"첫키스만 50번째","lmg3****","2022.07.05. 18:08","10","창의적인 로맨스영화.. 넘 귀엽구 사랑스러운 드류 베리모어..♡","0","0"
"첫키스만 50번째","wend****","2022.07.01. 20:01","10","너무 감동적이다.. 이런 사랑 정말 존재할까.. 하와이의 풍경과 노래와 모든게 아름다운 영화!!!","0","0"
"첫키스만 50번째","dime****","2022.06.13. 04:40","7","요즘엔 찾아보기 힘든 묵직한 사랑을 간접적으로마 체험해볼 수 있다","0","0"
"첫키스만 50번째","wkdd****","2022.06.11. 18:06","10","좋아하는 사람이 추천해준 영화.그리고 그 사람에게 내 감정을 이야기 하게 한 영화.나를 미치게 만든 영화.","0","0"
"첫키스만 50번째","seao****","2022.04.24. 06:13","9","재미와 감동을 모두 충족 시켜주는 로맨틱 코미디 영화. 아름다운 하와이의 배경은 덤.","0","0"
"첫키스만 50번째","yuto****","2022.03.12. 21:58","9","오랜만에 괜찮은 일본영화를 봄 너무 잔잔하지도 않고 간간히 웃음을 주면서 소재도 나름 신선","0","0"
"첫키스만 50번째","yhjc****","2022.03.09. 20:23","10","정보 없음","0","0"
"첫키스만 50번째","kimg****","2022.03.04. 10:30","7","사랑스러우니까 봐줄수 있는거야","0","0"
"첫키스만 50번째","cola****","2022.02.20. 11:33","10","정말 사랑스러운 영화. 하와이의 풍광도, 인간배우들의 연기뿐 아니라 동물배우들의 연기도 너무좋다.","0","0"
"첫키스만 50번째","yunm****","2022.02.16. 02:42","10","진짜 그냥 최고… 이틀 동안 재밌다는 영화 10편 봤는데 그 중 제일 맘에 든 영화, 기분 좋아짐","0","0"
"첫키스만 50번째","love****","2022.02.05. 02:27","10","“This is art.”","0","0"
"첫키스만 50번째","fd_t****","2022.01.22. 23:22","10","스무살때 봤던 영화15년이 지나도록 한 열 번쯤 본 것 같다영화를 보고 있으면 스무살의 나로 잠깐 다녀온 기분","0","0"
"첫키스만 50번째","hkma****","2021.11.27. 04:52","10","알듯말듯 설레이며 마음 아픈 여행","0","0"
"첫키스만 50번째","jsun****","2021.11.26. 15:03","8","절대 잊히지 않는 것이 있어요.","0","0"
"첫키스만 50번째","rkrt****","2021.11.04. 18:54","10","정말 사랑스러운 영화..","0","0"
"첫키스만 50번째","dbrk****","2021.08.27. 01:01","10","인생영화 50번 넘게봐도 볼때마다 지루하지않고 기분 좋게 해주는 영화엔딩볼때마다 눈물이 흐르는 영화","0","0"
"첫키스만 50번째","sism****","2021.08.07. 15:49","8","입가에 계속 미소가...변치않는  아름다운사랑입디다  부럽개~~","0","0"
"첫키스만 50번째","ssh3****","2021.08.06. 17:40","9","단순 로코 영화가 아닌 명작영화 50번 다시봐도 될만큼1년마다 1번씩 본다면 나이50되어서 인생에서 무엇이 중요한지알게끔해주는 영화","0","0"
"첫키스만 50번째","ckxl****","2021.07.29. 12:39","10","오랜만에 생각나서 봤는데 너무 감동적이라 눙물이남","0","0"
"첫키스만 50번째","adiv****","2021.07.24. 05:49","7","달달한 로맨틱 코미디","0","0"
"첫키스만 50번째","luna****","2021.07.14. 21:20","8","드류베리모어 영화는 90% 확률로 볼만한 가치가 있다.아담샌들러 영화도 95% 확률로 볼만한 가치가 있다.고로 이 영화는 당연히 볼만한 가치가 있다.","0","0"
"첫키스만 50번째","godl****","2021.06.25. 23:09","10","아름다운 영화....","0","0"
"첫키스만 50번째","168-****","2021.05.20. 22:30","10","모두 다 좋았다","0","0"
"첫키스만 50번째","rnjs****","2021.04.30. 22:22","10","오랜만에 본 인생 로코영화.. 진짜 추천 갓갓 재미 감동 로맨스 스토리 연출 중간중간 사랑스러움까지 모든게 완벽한 영화입니다ㅠ","0","0"
"첫키스만 50번째","rjs2****","2021.04.25. 00:51","8","정보 없음","0","0"
"첫키스만 50번째","supe****","2021.04.24. 21:46","10","최고의 영화 중 하나 명작","0","0"
"첫키스만 50번째","nuri****","2021.02.25. 03:05","10","정말 사랑스런 영화♡ 사랑스런 커플♡","0","0"
"첫키스만 50번째","damn****","2021.01.18. 01:57","10","로코를 엉엉 울면서 보긴 처음이다.. 너무 아름답고 감동적인 사랑....","0","0"
"첫키스만 50번째","jma0****","2021.01.05. 22:57","10","너무 오랜만에 울고웃고 사랑에 대해 다시 느끼게 해준 영화네요. 너무 늦게 봤지만 주변에 있는 사람들을 더 사랑할 수 있을거 같아요.","0","0"
"첫키스만 50번째","jms1****","2020.12.20. 18:25","10","그냥 다 완벽 가슴이 따뜻해지네요 '감동' 그 자체인 것 같아요 진짜로.","0","0"
"첫키스만 50번째","win3****","2020.12.15. 19:22","10","진짜웃겨요...ㅋㅋㅎㅎ","0","0"
"첫키스만 50번째","yoyo****","2020.12.12. 23:53","10","매일매일이 새로운사랑 신선하기도 하고 가슴시리기도하네요.이영화를 왜 지금처음봤을까요","0","0"
"첫키스만 50번째","inam****","2020.12.10. 15:05","10","마지막 배위에 장면에서 눈물남 ㅠㅠ","0","0"
"첫키스만 50번째","sjsj****","2020.12.02. 01:14","10","내인생 최고의 로맨스 영화였다","0","0"
"첫키스만 50번째","ingk****","2020.11.16. 14:18","10","짱이다 ㅜㅜ 왜이영화를 지금 봤을까요","0","0"
"첫키스만 50번째","wjda****","2020.11.12. 22:13","10","너무 따뜻하고 사랑 넘치는 영화에요 남자의 사랑도 넘 아름다워요","0","0"
"첫키스만 50번째","kiaf****","2020.11.02. 20:42","10","감동과 웃음 둘 다 갖춘 영화","0","0"
"첫키스만 50번째","qose****","2020.10.23. 04:00","10","정말 감동적이고 가족, 연인에 대한 사랑을 다 담고 있는 영화다10년전에 찜 해놓고 안 본 영화지만 지금 보길 잘했다는 생각이든다예전에 봤으면 영화를 제대로 보지 못했을 거 같다 코코션루♥","0","0"
"첫키스만 50번째","soul****","2020.10.17. 08:13","10","진정한사랑이란 무엇인가 생각해보게된 영화","0","0"
"첫키스만 50번째","kimm****","2020.10.10. 13:35","10","정보 없음","0","0"
"첫키스만 50번째","supr****","2020.09.10. 22:15","8","휴머니즘 중엔 바로 이런 로맨스도 있다","0","0"
"첫키스만 50번째","ktx2****","2020.09.03. 01:22","10","가슴 벅차고 사랑스러운 영화개그코드는 ㅋㅋㅋㅋ","0","0"
"첫키스만 50번째","ksgk****","2020.08.30. 16:51","10","정보 없음","0","0"
"첫키스만 50번째","happ****","2020.08.08. 22:15","10","감동적이고 여운 남는 영화에요","0","0"
"첫키스만 50번째","wowm****","2020.06.28. 02:51","10","다시봐도 감동적이에요 한번사는 세상 저렇게 사랑하고 싶어요","0","0"
"첫키스만 50번째","jayl****","2020.05.25. 13:44","10","보는 내내 웃기고 보고 나서 행복해지는 영화","0","0"
"첫키스만 50번째","lkyy****","2020.05.09. 16:53","10","헨리같은 사랑을 할순있을까?","0","0"
"첫키스만 50번째","chae****","2020.04.17. 23:44","10","정말 아름다운 사랑을 표현한 영화.","0","0"
"첫키스만 50번째","kkat****","2020.03.21. 19:37","10","아담샌들러의 인생작!로맨틱 코미디의 최고봉!","0","0"
"첫키스만 50번째","ysy9****","2020.03.19. 13:48","10","내 인생영화! 따뜻하고 감동적이고 재밌고 다한다","0","0"
"첫키스만 50번째","fkdn****","2020.03.11. 21:55","10","헨리같은 사람과 결혼하고싶음","0","0"
"첫키스만 50번째","ysoo****","2020.03.11. 04:10","10","매일 기억을 잃어도 매일 나를 사랑해 줄 수 있는 사람이 있을까..","0","0"
"첫키스만 50번째","blue****","2020.03.02. 02:51","10","저렇게 사랑할 수 있을까...","0","0"
"첫키스만 50번째","bell****","2020.03.01. 07:04","8","매일을 하루만 주어진 것처럼 사랑하기. 정갈한 풍경과 온화한 낯빛, 행복한 항해.","0","0"
"첫키스만 50번째","mart****","2020.02.26. 00:58","10","아름답다","0","0"
"첫키스만 50번째","part****","2020.01.15. 20:00","10","너무 좋아요...너무 감동적이고 같이 많이 울었어요ㅜㅜ 노래도 너무 좋고 다 좋습니다!","0","0"
"첫키스만 50번째","ahrq****","2019.12.26. 01:07","10","너무 너무 좋아염, 연인들이 보기 좋음","0","0"
"첫키스만 50번째","lsr8****","2019.12.11. 11:57","10","고딩때 매우 감명깊게 본 영화","0","0"
"첫키스만 50번째","wlsc****","2019.11.18. 02:01","10","둘의 사랑이 영원하길 바라고 응원합니다","0","0"
"첫키스만 50번째","dkss****","2019.10.31. 22:21","10","내 인생영화 최고최고... 열번넘게봤어도 볼때마다 재밌다","0","0"
"첫키스만 50번째","phea****","2019.10.08. 00:17","7","이루기 힘든 사랑이거늘, 그 남자의 열정에 나도 매혹되네","0","0"
"첫키스만 50번째","elec****","2019.09.05. 23:22","9","드류 배리모어 정말 귀여웠네~~","0","0"
"첫키스만 50번째","mess****","2019.08.16. 08:59","10","보고싶다 이지인아~~","0","0"
"첫키스만 50번째","rlaw****","2019.04.26. 01:28","8","킬링타임용으로 좋은것같아요! 여운이 너무 남는 로맨스영화는 아니지만 잔잔한 감동과 중간중간에 재미가 존재하는 영화입니당","0","0"
"첫키스만 50번째","mung****","2019.04.18. 17:51","10","인생영화감동영화진정한사랑","0","0"
"첫키스만 50번째","happ****","2019.04.10. 23:54","10","인생영화... 명작을 이제보내요슬프면서 기분좋은 사랑이야기","0","0"
"첫키스만 50번째","pool****","2019.04.06. 08:38","7","괜찮았던 로코영화! 소재가 재밌었어요","0","0"
"첫키스만 50번째","pand****","2019.03.26. 09:35","10","현존하는 최고의 로맨틱 코미디!","0","0"
"첫키스만 50번째","wing****","2019.03.24. 16:42","10","볼만한 영화 입니다..","0","0"
"첫키스만 50번째","dldb****","2019.03.22. 22:46","10","첫 키스만 50번째, 최애영화","0","0"
"첫키스만 50번째","kpcc****","2019.03.03. 16:29","10","하와이의 아름다운 풍광과 함께 드류 베리모어의 전성기의 청순한 미모를 감상할 수 있다.","0","0"
"첫키스만 50번째","rudx****","2019.02.16. 04:02","10","로멘스물을 별로 좋아하진 않지만 이건 좋다","0","0"
